city,date,aqi,pm2_5,pm10,no2,co,dominant_pollutant
Delhi,2009-11-29,313,313,,,,pm25
London,2009-11-29,38,38,16.0,33.0,4.4,pm25
New York,2009-11-29,33,33,,,,pm25
Delhi,2009-11-30,313,313,,,,pm25
London,2009-11-30,38,38,16.0,33.0,4.4,pm25
New York,2009-11-30,33,33,,,,pm25
Delhi,2009-12-01,313,313,,,,pm25
London,2009-12-01,38,38,16.0,33.0,4.4,pm25
New York,2009-12-01,33,33,,,,pm25
Delhi,2009-12-02,313,313,,,,pm25
London,2009-12-02,38,38,16.0,33.0,4.4,pm25
New York,2009-12-02,33,33,,,,pm25
Delhi,2009-12-03,313,313,,,,pm25
London,2009-12-03,38,38,16.0,33.0,4.4,pm25
New York,2009-12-03,33,33,,,,pm25
Delhi,2009-12-04,313,313,,,,pm25
London,2009-12-04,38,38,16.0,33.0,4.4,pm25
New York,2009-12-04,33,33,,,,pm25
Delhi,2009-12-05,313,313,,,,pm25
London,2009-12-05,38,38,16.0,33.0,4.4,pm25
New York,2009-12-05,33,33,,,,pm25
Delhi,2009-12-06,313,313,,,,pm25
London,2009-12-06,38,38,16.0,33.0,4.4,pm25
New York,2009-12-06,33,33,,,,pm25
Delhi,2009-12-07,313,313,,,,pm25
London,2009-12-07,38,38,16.0,33.0,4.4,pm25
New York,2009-12-07,33,33,,,,pm25
Delhi,2009-12-08,313,313,,,,pm25
London,2009-12-08,38,38,16.0,33.0,4.4,pm25
New York,2009-12-08,33,33,,,,pm25
Delhi,2009-12-09,313,313,,,,pm25
London,2009-12-09,38,38,16.0,33.0,4.4,pm25
New York,2009-12-09,33,33,,,,pm25
Delhi,2009-12-10,313,313,,,,pm25
London,2009-12-10,38,38,16.0,33.0,4.4,pm25
New York,2009-12-10,33,33,,,,pm25
Delhi,2009-12-11,313,313,,,,pm25
London,2009-12-11,38,38,16.0,33.0,4.4,pm25
New York,2009-12-11,33,33,,,,pm25
Delhi,2009-12-12,313,313,,,,pm25
London,2009-12-12,38,38,16.0,33.0,4.4,pm25
New York,2009-12-12,33,33,,,,pm25
Delhi,2009-12-13,313,313,,,,pm25
London,2009-12-13,38,38,16.0,33.0,4.4,pm25
New York,2009-12-13,33,33,,,,pm25
Delhi,2009-12-14,313,313,,,,pm25
London,2009-12-14,38,38,16.0,33.0,4.4,pm25
New York,2009-12-14,33,33,,,,pm25
Delhi,2009-12-15,313,313,,,,pm25
London,2009-12-15,38,38,16.0,33.0,4.4,pm25
New York,2009-12-15,33,33,,,,pm25
Delhi,2009-12-16,313,313,,,,pm25
London,2009-12-16,38,38,16.0,33.0,4.4,pm25
New York,2009-12-16,33,33,,,,pm25
Delhi,2009-12-17,313,313,,,,pm25
London,2009-12-17,38,38,16.0,33.0,4.4,pm25
New York,2009-12-17,33,33,,,,pm25
Delhi,2009-12-18,313,313,,,,pm25
London,2009-12-18,38,38,16.0,33.0,4.4,pm25
New York,2009-12-18,33,33,,,,pm25
Delhi,2009-12-19,313,313,,,,pm25
London,2009-12-19,38,38,16.0,33.0,4.4,pm25
New York,2009-12-19,33,33,,,,pm25
Delhi,2009-12-20,313,313,,,,pm25
London,2009-12-20,38,38,16.0,33.0,4.4,pm25
New York,2009-12-20,33,33,,,,pm25
Delhi,2009-12-21,313,313,,,,pm25
London,2009-12-21,38,38,16.0,33.0,4.4,pm25
New York,2009-12-21,33,33,,,,pm25
Delhi,2009-12-22,313,313,,,,pm25
London,2009-12-22,38,38,16.0,33.0,4.4,pm25
New York,2009-12-22,33,33,,,,pm25
Delhi,2009-12-23,313,313,,,,pm25
London,2009-12-23,38,38,16.0,33.0,4.4,pm25
New York,2009-12-23,33,33,,,,pm25
Delhi,2009-12-24,313,313,,,,pm25
London,2009-12-24,38,38,16.0,33.0,4.4,pm25
New York,2009-12-24,33,33,,,,pm25
Delhi,2009-12-25,313,313,,,,pm25
London,2009-12-25,38,38,16.0,33.0,4.4,pm25
New York,2009-12-25,33,33,,,,pm25
Delhi,2009-12-26,313,313,,,,pm25
London,2009-12-26,38,38,16.0,33.0,4.4,pm25
New York,2009-12-26,33,33,,,,pm25
Delhi,2009-12-27,313,313,,,,pm25
London,2009-12-27,38,38,16.0,33.0,4.4,pm25
New York,2009-12-27,33,33,,,,pm25
Delhi,2009-12-28,313,313,,,,pm25
London,2009-12-28,38,38,16.0,33.0,4.4,pm25
New York,2009-12-28,33,33,,,,pm25
Delhi,2009-12-29,313,313,,,,pm25
London,2009-12-29,38,38,16.0,33.0,4.4,pm25
New York,2009-12-29,33,33,,,,pm25
Delhi,2009-12-30,313,313,,,,pm25
London,2009-12-30,38,38,16.0,33.0,4.4,pm25
New York,2009-12-30,33,33,,,,pm25
Delhi,2009-12-31,313,313,,,,pm25
London,2009-12-31,38,38,16.0,33.0,4.4,pm25
New York,2009-12-31,33,33,,,,pm25
Delhi,2010-01-01,313,313,,,,pm25
London,2010-01-01,38,38,16.0,33.0,4.4,pm25
New York,2010-01-01,33,33,,,,pm25
Delhi,2010-01-02,313,313,,,,pm25
London,2010-01-02,38,38,16.0,33.0,4.4,pm25
New York,2010-01-02,33,33,,,,pm25
Delhi,2010-01-03,313,313,,,,pm25
London,2010-01-03,38,38,16.0,33.0,4.4,pm25
New York,2010-01-03,33,33,,,,pm25
Delhi,2010-01-04,313,313,,,,pm25
London,2010-01-04,38,38,16.0,33.0,4.4,pm25
New York,2010-01-04,33,33,,,,pm25
Delhi,2010-01-05,313,313,,,,pm25
London,2010-01-05,38,38,16.0,33.0,4.4,pm25
New York,2010-01-05,33,33,,,,pm25
Delhi,2010-01-06,313,313,,,,pm25
London,2010-01-06,38,38,16.0,33.0,4.4,pm25
New York,2010-01-06,33,33,,,,pm25
Delhi,2010-01-07,313,313,,,,pm25
London,2010-01-07,38,38,16.0,33.0,4.4,pm25
New York,2010-01-07,33,33,,,,pm25
Delhi,2010-01-08,313,313,,,,pm25
London,2010-01-08,38,38,16.0,33.0,4.4,pm25
New York,2010-01-08,33,33,,,,pm25
Delhi,2010-01-09,313,313,,,,pm25
London,2010-01-09,38,38,16.0,33.0,4.4,pm25
New York,2010-01-09,33,33,,,,pm25
Delhi,2010-01-10,313,313,,,,pm25
London,2010-01-10,38,38,16.0,33.0,4.4,pm25
New York,2010-01-10,33,33,,,,pm25
Delhi,2010-01-11,313,313,,,,pm25
London,2010-01-11,38,38,16.0,33.0,4.4,pm25
New York,2010-01-11,33,33,,,,pm25
Delhi,2010-01-12,313,313,,,,pm25
London,2010-01-12,38,38,16.0,33.0,4.4,pm25
New York,2010-01-12,33,33,,,,pm25
Delhi,2010-01-13,313,313,,,,pm25
London,2010-01-13,38,38,16.0,33.0,4.4,pm25
New York,2010-01-13,33,33,,,,pm25
Delhi,2010-01-14,313,313,,,,pm25
London,2010-01-14,38,38,16.0,33.0,4.4,pm25
New York,2010-01-14,33,33,,,,pm25
Delhi,2010-01-15,313,313,,,,pm25
London,2010-01-15,38,38,16.0,33.0,4.4,pm25
New York,2010-01-15,33,33,,,,pm25
Delhi,2010-01-16,313,313,,,,pm25
London,2010-01-16,38,38,16.0,33.0,4.4,pm25
New York,2010-01-16,33,33,,,,pm25
Delhi,2010-01-17,313,313,,,,pm25
London,2010-01-17,38,38,16.0,33.0,4.4,pm25
New York,2010-01-17,33,33,,,,pm25
Delhi,2010-01-18,313,313,,,,pm25
London,2010-01-18,38,38,16.0,33.0,4.4,pm25
New York,2010-01-18,33,33,,,,pm25
Delhi,2010-01-19,313,313,,,,pm25
London,2010-01-19,38,38,16.0,33.0,4.4,pm25
New York,2010-01-19,33,33,,,,pm25
Delhi,2010-01-20,313,313,,,,pm25
London,2010-01-20,38,38,16.0,33.0,4.4,pm25
New York,2010-01-20,33,33,,,,pm25
Delhi,2010-01-21,313,313,,,,pm25
London,2010-01-21,38,38,16.0,33.0,4.4,pm25
New York,2010-01-21,33,33,,,,pm25
